source,target,value
write_mb,write_array_file,1
write_mb,get_mb_path,1
write_mb,calc_mandelbrot_vals,1
read_mb,read_array_file,1
read_mb,get_mb_path,1
get_mb_path,get_mb_corename,1
get_mandelbrot,write_mb,1
get_mandelbrot,calc_mandelbrot_vals,1
get_mandelbrot,read_mb,1
get_mandelbrot,get_mb_path,1
mb_to_png,get_mandelbrot,1
mb_to_png,get_mb_corename,1
mb_to_png,escapeval_to_color,1
mb_to_png,println,1
mb_to_tkinter,get_mandelbrot,1
mb_to_tkinter,escapeval_to_color,1
mb_to_tkinter,println,1
main,mb_to_png,1
main,println,2
main,mb_to_tkinter,1
main_shuttle,main,1
